song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3jjujdWJ72nww5eGnfs2E7,0.676,0.771,G♯/A♭,-3.675,major,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133,4
7qEHsqek33rTcFNT9PFqLf,0.501,0.405,C♯/D♭,-5.679,major,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4
2XIc1pqjXV3Cr2BQUGNBck,0.856,0.618,G,-4.892,major,0.286,0.0303,0.0,0.0866,0.391,81.993,203201,4
1VLtjHwRWOVJiE5Py7JxoQ,0.832,0.534,C♯/D♭,-7.813,minor,0.253,0.345,0.0,0.165,0.116,93.924,132833,4
1gihuPhrLraKYrJMAEONyc,0.707,0.924,G,-2.842,major,0.031,0.000972,0.00703,0.204,0.919,127.937,206413,4
4xz7WX28IkmcaHv06lCezR,0.728,0.832,G,-6.827,major,0.267,0.327,0.0,0.504,0.825,95.051,172893,4
6b8Be6ljOzmkOmFslEb23P,0.818,0.803,C♯/D♭,-4.282,major,0.0797,0.034,0.0,0.153,0.632,106.97,225983,4
0e7ipj03S05BNilyu5bRzt,0.585,0.52,F,-6.136,minor,0.0712,0.124,7.01e-05,0.131,0.129,159.801,218147,4
2PpruBYCo4H7WOBJ7Q2EwM,0.727,0.974,E,-2.261,minor,0.0664,0.103,0.000532,0.174,0.965,79.526,235213,4
7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,G♯/A♭,-5.599,major,0.0338,0.414,0.0,0.111,0.661,95.01,244960,4
2mt1IqcFyY1zmYZT8Q3xw9,0.782,0.559,F♯/G♭,-7.106,minor,0.0767,0.125,0.0,0.385,0.685,129.992,188344,1
7s95nPLMfiLTPoQ7pqUFmO,0.921,0.718,E,-3.545,minor,0.299,0.217,0.0,0.189,0.677,141.06,176383,4
696DnlkuDOXcMAnKlTgXXK,0.621,0.601,F♯/G♭,-5.616,minor,0.148,0.0522,0.0,0.46,0.457,116.735,163636,5
0SErdEdRcVX1uJCf1eTGYH,0.657,0.54,F,-7.675,major,0.0287,0.662,0.0,0.123,0.625,136.97,161773,4
7o4gBbTM6UBLkOYPw9xMCz,0.928,0.341,B,-10.196,minor,0.103,0.0614,0.0,0.162,0.745,129.966,170233,4
5u1n1kITHCxxp8twBcZxWy,0.673,0.704,F♯/G♭,-8.056,major,0.36,0.196,0.0,0.0898,0.372,86.919,212093,4
7eJMfftS33KTjuF7lTsMCx,0.726,0.431,G♯/A♭,-8.765,minor,0.135,0.731,0.0,0.696,0.348,144.026,173333,4
6gBFPUFcJLzWGx4lenP6h2,0.841,0.728,G,-3.37,major,0.0484,0.0847,0.0,0.149,0.43,130.049,243837,4
5jAvbp8kEnRPToi4Bzcvzt,0.578,0.631,A,-6.518,minor,0.309,0.0243,0.0,0.0665,0.716,96.332,118853,4
4f2GB5ZC7vOUYPAg69N2Xw,0.684,0.864,A,-4.819,major,0.0312,0.131,0.00526,0.344,0.978,125.395,221520,4
1jaTQ3nqY3oAAYyCTbIvnM,0.923,0.604,B,-6.671,minor,0.245,0.017,0.0,0.272,0.826,145.062,139741,4
7FIWs0pqAYbP91WWM0vlTQ,0.808,0.745,A♯/B♭,-5.26,minor,0.342,0.145,0.0,0.292,0.829,165.995,210800,4
2gMXnyrvIjhVBUZwvLZDMP,0.459,0.575,D♯/E♭,-4.858,major,0.0573,0.604,0.0,0.0885,0.183,111.881,215107,4
6DCZcSspjsKoFjzjrWoCdn,0.754,0.449,G,-9.211,major,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973,4
43BlKpJcSrC9AsJ3F1DKg9,0.877,0.677,F,-4.969,minor,0.356,0.0439,0.0,0.0986,0.627,144.941,172185,4
2kS6td1yvmpNgZTt1q5pQq,0.527,0.922,A,-2.666,minor,0.0728,0.00475,0.000162,0.422,0.49,95.975,181680,4
5rZlwNFl01HqLWBQGryKSm,0.48,0.602,A♯/B♭,-6.335,minor,0.368,0.487,0.0,0.0848,0.269,179.798,213333,4
1M4OcYkxAtu3ErzSgDEfoi,0.868,0.795,B,-6.044,major,0.269,0.0012,0.0193,0.0461,0.819,166.0,156945,4
4umIPjkehX1r7uhmGvXiSV,0.806,0.546,A,-6.637,major,0.0575,0.3,0.0,0.102,0.874,147.986,212867,4
1Y2ExJJ9Dmb9po8K0ybSj3,0.358,0.889,C♯/D♭,-8.045,major,0.335,0.266,1.46e-05,0.172,0.666,85.61,130480,4
6Ozh9Ok6h4Oi1wUSLtBseN,0.769,0.787,B,-3.909,major,0.367,0.189,0.0,0.129,0.836,126.77,159715,4
3QzAOrNlsabgbMwlZt7TAY,0.809,0.545,G,-6.678,major,0.0735,0.392,0.0,0.151,0.244,97.008,180435,4
2rPHUAeUPbNgTmK18FPTiZ,0.487,0.74,F♯/G♭,-4.973,major,0.0944,0.157,0.0,0.612,0.522,73.779,181688,4
7B3z0ySL9Rr0XvZEAjWZzM,0.744,0.619,C,-9.805,major,0.039,0.598,0.00372,0.231,0.641,112.997,188387,4
6QgjcU0zLnzq5OrUoSZ3OK,0.801,0.795,C♯/D♭,-5.115,minor,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253,4
0eBXyY4SatzpE7opnzgXvz,0.621,0.882,F♯/G♭,-5.01,major,0.0459,0.601,0.0,0.132,0.574,126.014,216573,4
5E30LdtzQTGqRvNd7l6kG5,0.588,0.521,A♯/B♭,-9.461,major,0.0329,0.0678,0.149,0.123,0.337,85.012,260173,4
7vrJn5hDSXRmdXoR30KgF1,0.863,0.666,C♯/D♭,-4.158,minor,0.152,0.212,0.000493,0.103,0.838,163.908,178947,4
0tbjiOUl4k492KPdWZS9sy,0.457,0.774,C,-5.201,major,0.0336,0.428,4.29e-05,0.119,0.59,203.863,210123,4
79s5XnCN4TJKTVMSmOx8Ep,0.548,0.805,G,-5.732,major,0.351,0.212,0.000389,0.408,0.648,142.094,216387,4
5CFJRZRq6sdKKtRwNPWbYv,0.619,0.589,C♯/D♭,-6.531,major,0.124,0.43,0.000392,0.378,0.158,143.896,174960,4
3bidbhpOYeV4knp8AIu8Xn,0.641,0.922,D,-4.457,major,0.0786,0.0291,0.0,0.0862,0.847,146.078,258343,4
7m9OqQk4RVRkw9JJdeAw96,0.872,0.391,C,-9.144,minor,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133,4
7fEoXCZTZFosUFvFQg1BmW,0.82,0.592,C♯/D♭,-7.002,major,0.29,0.0149,4.71e-06,0.121,0.4,159.98,196180,4
0k7wmahjkn389wAZdz19Cv,0.752,0.658,C,-6.297,major,0.342,0.0421,0.0,0.0927,0.387,151.951,213520,4
6ZuahEctZD6w75peme58hm,0.442,0.631,C♯/D♭,-5.096,minor,0.05,0.136,2.29e-05,0.133,0.129,139.774,172693,4
5VlTQnZO89Ioku8ssdbqJk,0.505,0.267,A,-13.763,minor,0.05,0.279,0.0,0.096,0.439,143.929,247080,4
466cKvZn1j45IpxDdYZqdA,0.83,0.49,C♯/D♭,-8.82,minor,0.209,0.289,3.04e-06,0.113,0.845,81.604,247059,4
0AUvWawuP0ibk4SQ3sIZjk,0.834,0.663,G♯/A♭,-6.143,major,0.133,0.235,0.0,0.372,0.774,121.876,146523,4
1eMNW1HQjF1dbb4GtnmpaX,0.885,0.661,E,-5.062,minor,0.141,0.165,0.0,0.334,0.436,140.028,164591,4
527k23H0A4Q0UJN3vGs0Da,0.629,0.692,F,-8.045,major,0.0376,0.00981,0.331,0.603,0.453,162.948,167916,4
1SF8piqsZWn86DajVKih8F,0.877,0.607,A♯/B♭,-7.818,minor,0.15,0.535,0.0,0.138,0.773,127.055,151249,4
6Gg1gjgKi2AK4e0qzsR7sd,0.474,0.631,F,-5.884,minor,0.343,0.0687,0.0,0.132,0.425,180.051,189323,4
3eekarcy7kvN4yt5ZFzltW,0.598,0.427,G,-8.764,minor,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,4
62vpWI1CHwFy7tMIcSStl8,0.692,0.521,A♯/B♭,-8.465,minor,0.33,0.301,0.0,0.0565,0.463,100.45,292987,4
6NriykdkRrjQMZo1sfVYUo,0.547,0.613,G,-7.577,minor,0.0264,0.431,0.0,0.102,0.528,79.011,215627,4
4GBkffrtA51p17JH35irGA,0.575,0.435,F,-8.193,major,0.0311,0.737,5.38e-05,0.105,0.351,145.91,229840,4
5dOxHHMOFAbG3VH23t0xNm,0.706,0.625,C,-7.426,major,0.0314,0.0417,0.0,0.129,0.225,142.948,242181,4
7bCfHiRcfUjG0YVVNUL7Ve,0.614,0.937,C♯/D♭,-7.443,major,0.115,0.00161,0.00136,0.103,0.386,84.98,105176,4
7w87IxuO7BDcJ3YUqCyMTT,0.733,0.71,F,-5.849,minor,0.0292,0.145,0.115,0.0956,0.965,127.975,239600,4
5BK0uqwY9DNfZ630STAEaq,0.512,0.462,A,-10.491,major,0.0408,0.83,0.166,0.121,0.353,112.05,185320,4
6gxKUmycQX7uyMwJcweFjp,0.926,0.542,C♯/D♭,-5.064,major,0.293,0.135,0.0,0.0877,0.564,135.14,181929,4
2rjjNUYONZqC7wSd1i6OFq,0.668,0.892,F,-3.001,minor,0.0645,0.298,0.0,0.735,0.478,95.927,159011,4
6foY66mWZN0pSRjZ408c00,0.614,0.68,F♯/G♭,-4.58,major,0.0289,0.369,1.84e-06,0.115,0.707,149.959,234347,4
2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,G♯/A♭,-3.714,major,0.222,0.00513,0.0,0.124,0.446,155.008,312820,4
4o6BgsqLIBViaGVbx5rbRk,0.751,0.501,F,-12.151,major,0.0551,0.234,0.112,0.0467,0.902,167.057,190627,4
1kusepF3AacIEtUTYrw4GV,0.447,0.848,D,-6.175,major,0.222,0.033,7.45e-05,0.722,0.485,172.247,203760,4
2kJwzbxV2ppxnQoYw4GLBZ,0.464,0.473,C♯/D♭,-10.086,major,0.129,0.866,0.0,0.109,0.604,75.801,208687,4
0GzuHFG4Ql6DoyxFRnIk3F,0.766,0.788,F♯/G♭,-3.128,minor,0.312,0.105,5.81e-06,0.142,0.609,179.984,200482,4
7a53HqqArd4b9NF4XAmlbI,0.637,0.69,C♯/D♭,-4.057,minor,0.0405,0.00786,0.0,0.124,0.457,129.857,162399,4
39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,C,-7.648,minor,0.0514,0.233,0.0,0.157,0.28,129.979,165978,4
0rKtyWc8bvkriBthvHKY8d,0.515,0.479,D♯/E♭,-7.458,major,0.0261,0.544,0.00598,0.191,0.284,88.964,209274,4
3IJYUaN3tx04S4TYyZHKoP,0.73,0.439,F♯/G♭,-9.864,minor,0.0609,0.747,0.0,0.0988,0.615,130.09,147800,4
5RubKOuDoPn5Kj5TLVxSxY,0.811,0.637,A♯/B♭,-4.835,minor,0.0591,0.234,0.000572,0.118,0.471,92.025,130014,4
7tqhbajSfrz2F7E1Z75ASX,0.663,0.6,G,-10.87,major,0.032,0.43,0.0,0.184,0.8,129.991,151667,4
2GiJYvgVaD2HtM8GqD9EgQ,0.611,0.797,F♯/G♭,-7.627,minor,0.0533,0.00543,0.00137,0.26,0.518,120.041,218107,4
1H7KnK26kc1YyellpbINEn,0.49,0.618,C♯/D♭,-5.655,major,0.104,0.0221,3.77e-06,0.259,0.286,99.7,201600,4
2rRJrJEo19S2J82BDsQ3F7,0.784,0.43,A♯/B♭,-8.756,minor,0.0364,0.123,0.0,0.0887,0.236,127.087,159382,4
7uoFMmxln0GPXQ0AcCBXRq,0.716,0.512,C♯/D♭,-6.257,major,0.0331,0.483,0.0,0.0928,0.326,104.957,165907,3
7yiSvALPjMrBLDDrbcDRNy,0.821,0.816,F♯/G♭,-3.835,major,0.352,0.00711,0.0,0.0645,0.797,179.974,154389,4
5f1joOtoMeyppIcJGZQvqJ,0.727,0.626,G,-8.415,major,0.0726,0.0469,2.58e-05,0.126,0.322,86.97,191406,4
7qiZfU4dY1lWllzX7mPBI3,0.825,0.652,C♯/D♭,-3.183,minor,0.0802,0.581,0.0,0.0931,0.931,95.977,233713,4
0HPD5WQqrq7wPWR7P7Dw1i,0.755,0.837,D,-2.718,minor,0.142,0.0991,0.0,0.289,0.714,120.028,199693,4
09IStsImFySgyp0pIQdqAc,0.753,0.657,G,-3.061,major,0.0449,0.171,0.0,0.112,0.437,107.01,184732,4
003vvx7Niy0yvhvHt4a68B,0.352,0.911,C♯/D♭,-5.23,major,0.0747,0.00121,0.0,0.0995,0.236,148.033,222973,4
0uxSUdBrJy9Un0EYoBowng,0.773,0.75,G♯/A♭,-4.009,minor,0.117,0.109,0.0,0.174,0.783,123.426,220587,4
07KXEDMj78x68D884wgVEm,0.831,0.499,B,-8.442,minor,0.114,0.269,0.0,0.3,0.511,97.956,220487,4
0ada5XsQGLPUVbmTCkAP49,0.701,0.65,F♯/G♭,-6.313,major,0.104,0.291,0.0,0.112,0.647,90.003,160212,4
0nrRP2bk19rLc0orkWPQk2,0.532,0.783,D,-5.697,major,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,4
2ieu0FHqTpBUrMoCFVL3cb,0.554,0.899,F♯/G♭,-4.149,minor,0.0385,0.000469,0.000365,0.0867,0.556,157.995,218333,4
3K07bGe8iljQ3mOKArHLDo,0.638,0.538,A♯/B♭,-8.445,major,0.0315,0.452,0.000415,0.0695,0.318,89.124,240413,4
45S5WTQEGOB1VHr1Q4FuPl,0.448,0.838,E,-5.257,minor,0.0557,0.21,0.000131,0.131,0.254,139.863,208907,4
6cx06DFPPHchuUAcTxznu9,0.734,0.874,G♯/A♭,-3.158,major,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,166028,4
7GX5flRQZVHRAGd6B4TmDO,0.732,0.75,B,-6.366,minor,0.231,0.00264,0.0,0.109,0.401,155.096,182707,4
78QR3Wp35dqAhFEc2qAGjE,0.897,0.662,C♯/D♭,-6.903,minor,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
5IUtvfNvOyVYZUa6AJFrnP,0.782,0.51,E,-5.724,minor,0.0419,0.143,0.0,0.115,0.118,99.993,143375,4
5ubvP9oKmxLUVq506fgLhk,0.702,0.773,A♯/B♭,-9.256,minor,0.0343,0.0288,0.00871,0.147,0.953,103.564,285373,4
3JKgcAa7r07ocVWcV8bS0H,0.783,0.479,G,-10.646,major,0.541,0.149,0.0,0.101,0.533,176.027,163798,4
20McUFi8KCIVdNDLrkTDuZ,0.767,0.659,C♯/D♭,-7.429,major,0.0444,0.325,0.0,0.13,0.439,124.946,163208,4
57RA3JGafJm5zRtKJiKPIm,0.682,0.683,G♯/A♭,-6.444,minor,0.0287,0.156,2.32e-05,0.273,0.64,120.023,178000,4
2dpaYNEQHiRxtZbfNsse99,0.687,0.792,F,-2.749,major,0.0452,0.191,0.0,0.167,0.671,100.015,214290,4
1zi7xx7UVEFkmKfv06H8x0,0.792,0.625,C♯/D♭,-5.609,major,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987,4
6wQlQrTY5mVS8EGaFZVwVF,0.694,0.685,F♯/G♭,-6.535,minor,0.133,0.224,0.0,0.124,0.306,158.831,196180,4
3nS9a01VvXHQriLqJYwRqG,0.825,0.458,C,-7.47,major,0.0577,0.114,0.0,0.102,0.161,145.115,197760,4
3ee8Jmje8o58CHK66QrVC2,0.74,0.613,G♯/A♭,-4.88,major,0.145,0.258,0.00372,0.123,0.473,75.023,166606,4
0hVXuCcriWRGvwMV1r5Yn9,0.798,0.676,F♯/G♭,-5.041,major,0.0442,0.0902,0.0,0.0894,0.843,101.956,219947,4
2JvzF1RMd7lE3KmFlsyZD8,0.837,0.364,G♯/A♭,-11.713,major,0.276,0.149,0.0,0.271,0.463,123.984,213594,4
4bHsxqR3GMrXTxEPLuK5ue,0.5,0.748,E,-9.072,major,0.0363,0.127,0.0,0.447,0.514,118.852,250987,4
6K4t31amVTZDgR3sKmwUJJ,0.64,0.74,E,-4.083,major,0.0284,0.0115,0.00678,0.167,0.785,116.879,216320,4
7xQAfvXzm3AkraOtGPWIZg,0.829,0.539,B,-7.359,minor,0.208,0.136,1.78e-06,0.103,0.388,99.96,149547,4
5MwynWK9s4hlyKHqhkNn4A,0.631,0.591,G,-5.785,major,0.0277,0.657,0.0,0.11,0.489,97.074,205453,4
6eVxH9Kyanzrw636zJRPcw,0.887,0.606,D,-6.572,major,0.324,0.000407,0.0,0.151,0.272,139.995,210699,4
30bqVoKjX479ab90a8Pafp,0.585,0.471,E,-9.934,minor,0.0616,0.0967,0.0184,0.115,0.323,93.099,142000,4
1Z0cZI0UzNbP9L8MzzGxqf,0.867,0.744,D,-5.171,major,0.227,0.268,0.0,0.0713,0.645,84.005,173288,4
4CzhtKifG867Lu5DNQVBSA,0.642,0.69,B,-5.101,major,0.261,0.00599,1.3e-06,0.322,0.641,164.075,124094,4
